,Date,Title,Summary,Unnamed: 4
79,03/20/2020,"Transport sector body seeks lower fuel charges, insurance premium, tyre costs","“Road Transport sector is in deep crisis and facing the burden of economic slowdown.
Now, added woes of COVID-19 have multiplied the pain,” said transport sector tracking body Indian Foundation Transport Research Training’s Senior Fellow S P Singh, in a letter to the Prime Minister, Finance Minister, and Road Transport Minister.
""The truckers' businesses are down and out for last two years and economic slowdown has broken their back.
So, the third party insurance premium should be reduced over last year rather then hiking the premium as proposed in Draft Exposure Report on Third Party Premium of the insurance regulatory body Insurance Regulatory Development Authority, added IFTRT.
Given the poor state of health of road transport sector, toll charges on national and state highways should not be increased, said Singh.",
80,04/13/2020,"Less than 6% truck drivers on duty, transport sector seeks insurance cover for drivers","As the lockdown continues to wreak havoc over the supply chain, the transport sector is increasingly facing a difficulty over availability of truck drivers.
To track all live updates from the coronavirus pandemic, click here…To ensure drivers return to work, AIMTC wants the government to declare medical insurance for all truck drivers resuming duty.
COVID-19 Vaccine Frequently Asked Questions View more How does a vaccine work?
Recognising the gap, the home ministry asked state governments to allow unrestricted movement of transport vehicles carrying essential and non-essential goods.
Unless truck drivers are assured they will not be stranded without food and water for days in case of a breakdown, the road transport sector is likely to see shortage of drivers during the coming months.",
81,08/20/2020,"Top headlines: Made in India iPhone, more defence import embargoes, & more","It sought the annual financial details of RCom because it would be crucial for the judgment on AGR dues.
This will be the seventh iPhone model to be made in the country, giving a boost to Prime Minister Narendra Modi’s Atmanirbhar vision.
This is based on the estimates of the Indian Foundation of Transport Research & Training (IFTRT), a New Delhi-based think-tank.
Read MoreMore defence import embargoes soon, industry asked to step upSenior Army generals and Ministry of Defence (MoD) officials told defence industry executives on Monday that further curbs would be imposed on the import of defence equipment.
To help deal with that, the defence industry was issued a list of items that needed to be developed in the country.",
82,04/16/2020,"Idling trucks, staff shortage: Bottlenecks for industries amid lockdown","Jeetendra Kumar Yadav has been parked close to the Daman border since March 23.
Yadav had to unload his truck carrying PTA (an input used for making synthetic yarns) at a Daman-based factory but he couldn’t move ahead because of the lockdown.
After unloading his truck, Vijay Ram, a truck driver from Uttar Pradesh, too, has been held up in Navsari in Gujarat.
He couldn’t pick up a load from another company and return to Mumbai.
The tales of Yadav and Ram show that despite a series of notifications and guidelines, the movement of trucks remains severely affected because ...",
83,06/01/2020,"No money to bring trucks back on road, pay EMIs: The lockdown burden could crush many transporters","Logistics No money to bring trucks back on road, pay EMIs: The lockdown burden could crush many transporters Getty ImagesA worker carries crates at a wholesale market near the Delhi-Uttar Pradesh border during the lockdown.
SynopsisTransport companies have suffered huge losses in the last two months.
After the lockdown, many unorganised operators, who comprise 85% of the market, may not be able to survive due to measly demand, low freight rate and capacity utilisation, and their inability to arrange for upfront costs.
The stimulus and a revised definition for MSMEs may not help.",
84,03/27/2020,States move to help migrant workers amid Covid-19 lockdown,"Caught in the middle of the lockdown with no work and no way to travel home, scores of migrant workers have been traversing a long distance to reach their hometown.
Bihar chief minister Nitish Kumar on Thursday announced that his government will coordinate with other states and bear the expenses of migrant workers who are stranded in the state.
The scale of the crisis was evident on Friday, with the Maharashtra police finding more than 300 migrant workers crammed into two container trucks that were carrying essential commodities from Telangana to Rajasthan.
“Chief minister Uddhav Thackeray has been coordinating virtually with his counterparts in the country to help out-of-State workers stranded in Maharashtra,” state cabinet minister Aaditya Thackeray tweeted on Friday.
Separately, Punjab chief minister Captain Amarinder Singh, Jharkhand chief minister Hemant Soren and West Bengal chief minister Mamata Banerjee have reached out to the Maharashtra government for help in rescuing migrant workers and devotees.",
85,04/03/2020,State finances to take bigger hit than Centre's due to coronavirus lockdown,"The coronavirus disease (Covid-19)-induced lockdown is likely to hit state finances harder than the central government’s in financial year 2019-20 (FY20) and FY21.
This is because indirect taxes on transport fuel, vehicle sales, alcohol, real estate transactions, electricity, and films & entertainment account for a bulk of state governments’ tax revenues.
And most of these economic activities have either come to a complete halt or have reduced drastically in past two weeks, resulting in a sharp dip in state revenues.
In comparison, the central government largely ...",
86,04/21/2020,"Toll booths open to biz, but India's oldest highway wears deserted look","The Grand Trunk road that links Delhi to Haryana and Punjab is not buzzing with the usual traffic despite the ongoing harvest season in the two states that form India’s grain bowl.
Constructed by Sher Shah Suri in the 16th century, the original road over the years extended right up to Kabul in Afghanistan (in the west) and Chittagong in Bangladesh (in the east).
It is now part of the National Highway 1 that goes up to Kashmir with one of its spurs ending in Atarri, the land port between India and Pakistan.
On the highway, dhabas (eateries), some of which are known for ...",
87,03/25/2020,"Top headlines: Nationwide lockdown, Flipkart halts new orders, and more","PM Modi announces nationwide 21-day lockdown, appeals for social distancing Prime Minister (PM) Narendra Modi on Tuesday announced a 21-day nationwide “curfew”, or a lockdown, to contain the spread of Covid-19.
He appealed to the people “with folded hands” to practise strict social distancing.
Subsequent to the PM’s speech, the Union home ministry, in an unprecedented move, announced shutting down all government and private establishments, apart from those involved in essential services, and all modes of transport, during the ...",
88,04/21/2020,"Transporters demand reduction in fuel prices, Auto News, ET Auto","New Delhi: Amid subdued global crude oil prices, transporters ' apex body AIMTC on Tuesday demanded reduction in fuel prices, and suspension of toll collection on highways, as truckers are facing acute problems amid the lockdown.
Brent oil prices have collapsed around 60 per cent since the start of the year while the price of diesel has fallen only by 10 per cent.
From the beginning of the May 2014, the Government did not pass on the benefit of plummeting crude oil prices to the public instead increased profit share of the OMCs by increasing the excise duty.
""Apart from crude oil rates there are two important factors which determine the fuel cost - VAT and Excise Duty - which has increased significantly in last four years.
Irony is - we are paying more taxes than the cost of obtaining fuel.",
89,01/07/2020,Stock markets snap two-day losing streak, Sensex up 192 points,"On the NSE, the stock was up by Rs 20.50 or 20 per cent to Rs 123.20.
Foreign institutional investors sold equities worth Rs 103.84 crore, and domestic institutional investors offloaded shares worth Rs 23.70 crore on Monday, data available with stock exchanges showed.
The BSE benchmark Sensex was quoted at 168.87 points at 40,845.50, while the Nifty being traded at 12,040.60, up by 47.55 points.
The board of directors of the company will meet on ... Read More9.25 amOpening BellSensex, Nifty reboundIndian stock markets rebounded on Tuesday from yesterday'crash.
Similarly, the broader NSE Nifty too was up 139.70 points, or 1.16 per cent, to 12,132.75."
90,04/30/2020,Impact of COVID 19 on Indian Economy and Road Ahead for Corporate Sector,"The Indian economy is witnessing a significant slowdown, with GDP growth at 4.7% in Q3 2019-20, its lowest in nearly seven years.
The importance of these measures notwithstanding, they have brought down the economy on its knees, impacting both overall consumption and investments.
The Indian cinema industry will likely face a loss of ~INR200–250 crores over the next 2–3 months.
Auto industry to witness massive revenue loss due to disruption in supply chain globallyThe automotive sector is feeling the pinch too.
The impact on the sector would be long-term, reflected in the decline in revenue due to the low utilization of assets.",
